Year ,Hydro,Wind Onshore,Wind Offshore,Wind Total,Solar,Coal,Natural Gas,Oil,Biofuels and waste
1990,3313,0,0,0,0,917281.6667,103946.1111,151703.6111,25929.72222
1991,3411,0,0,0,0,903407.2222,96928.88889,151535.5556,24097.5
1992,3570,0,0,0,0,876570.2778,90274.16667,157067.7778,24928.33333
1993,3576,0,0,0,0,865180,94829.16667,162595.2778,52745.55556
1994,3786,0,0,0,0,800422.2222,95551.94444,170343.6111,53114.72222
1995,3851,1,0,1,0,818242.2222,104608.8889,181815.2778,53500.83333
1996,3910,1,0,1,0,839919.1667,109848.3333,204735.5556,50598.61111
1997,3816,2,0,2,0,818191.9444,109524.7222,210443.6111,48975.55556
1998,4327,4,0,4,0,737755.5556,110651.1111,215155.8333,44211.11111
1999,4282,4,0,4,0,708225,107731.1111,221951.6667,42457.22222
2000,4116,5,0,5,0,655387.2222,115831.3889,222813.8889,43264.72222
2001,4220,14,0,14,0,648606.1111,120679.7222,228998.3333,46137.22222
2002,3906,61,0,61,0,637976.9444,117616.3889,230125.8333,47159.44444
2003,3293,124,0,124,0,653512.2222,130961.6667,231360.2778,47885.83333
2004,3961,142,0,142,0,630013.8889,138171.1111,247790.8333,49395.55556
2005,3778,135,0,135,0,635660.2778,142287.2222,250711.9444,51527.22222
2006,3020,256,0,256,0,635660.2778,146323.3333,269147.7778,55436.94444
2007,2939,522,0,522,0,663615.8333,144809.4444,275675.8333,55828.61111
2008,2747,837,0,837,0,646834.7222,146141.1111,285313.6111,64301.94444
2009,2974,1077,0,1077,0,638306.9444,140285.2778,279382.5,73056.94444
2010,3488,1664,0,1664,0,636601.3889,148918.8889,295456.9444,84304.72222
2011,2761,3205,0,3205,0,636601.3889,149287.2222,297402.7778,91600
2012,2465,4747,0,4747,1,635283.3333,159101.6667,283085,97867.22222
2013,2997,6004,0,6004,1,590334.7222,159747.7778,258431.6667,95948.61111
2014,2734,7676,0,7676,7,616937.2222,155893.6111,255803.3333,95596.66667
2015,2435,10858,0,10858,57,562084.4444,160212.2222,271208.3333,96887.77778
2016,2622,12588,0,12588,124,562084.4444,170186.3889,299957.2222,94703.05556
2017,3034,14909,0,14909,165,574756.9444,179622.7778,345929.1667,94677.77778
2018,2387,12799,0,12799,300,574354.1667,187523.3333,350730,100120.8333
2019,2665,15107,0,15107,711,511748.6111,196833.6111,337046.1111,105702.5
2020,2936,15800,0,15800,1990,463108.8889,198741.1111,337046.1111,106003.6111
